Row,LigninContent,SGratio,Ssubunits,Gsubunits,Hsubunits,PBcontent,CLratio,Aldehydes,betaO4,beta5,betabeta,beta1,Endgroups,HeightRate,DiameterRate,VolumeRate,Glucose,Xylose,TotalSugar,Relativedensity,MOE,Glucoseunpretreated,Xyloseunpretreated,Glucosepretreated,Xylosepretreated
NSF4_WT_CK.3,23.90945302,1.69,62.5,36.9,0.6,4.6,2.530385992,0.0,86.7,4.3,7.2,1.7,7.0,48.75,0.14,33.81526884,40.995310700000005,15.130480100000002,60.500144999999996,0.29905,2495.76,34.65542707,12.88326601,45.58789696,40.02516748
NSF4_a09.02.1,,2.21,68.6,31.0,0.4,5.6,,0.0,87.2,3.9,7.1,1.7,7.0,31.0,0.09,34.19568626,,,,0.32149,3314.12,,,,
NSF4_a09.02.2,,,,,,,,,,,,,,32.5,0.14,34.33564421,,,,0.23153,2428.38,,,,
NSF4_a09.02.3,,,,,,,,,,,,,,4.0,0.0,1.6023693330000002,,,,0.28038,2667.3,,,,
NSF4_a09.05.1,,,,,,,,,,,,,,22.34,0.15,34.40588826,,,,0.28524,3352.45,,,,
NSF4_a09.05.2,,,,,,,,,,,,,,29.67,0.03,16.55598437,,,,0.28128000000000003,3230.4,,,,
NSF4_a09.05.3,,,,,,,,,,,,,,2.33,0.11,17.55446459,,,,0.27321999999999996,3402.57,,,,
NSF4_a09.06.1,,1.96,65.8,33.7,0.5,5.0,,0.0,85.5,4.3,7.6,2.6,6.7,57.5,0.14,55.52293777,,,,0.29144000000000003,3009.41,,,,
NSF4_a09.06.2,,,,,,,,,,,,,,33.0,0.03,19.24881308,,,,0.2922,2982.15,,,,
NSF4_a09.06.3,,,,,,,,,,,,,,57.5,0.04,37.11467744,,,,0.30388000000000004,2924.74,,,,
NSF4_a10.08.1,20.35848327,1.98,65.4,33.0,1.6,3.7,3.3059343610000003,0.0,87.2,3.9,7.1,1.7,7.0,33.0,0.08,24.65586789,48.35899188,15.51882702,67.30380939,0.30866,2936.15,24.19363917,7.1442255160000006,38.96503891,50.87626782
NSF4_a10.08.2,20.64041915,,,,,,3.50769139,,,,,,,30.0,0.07,21.27267066,51.26967573,17.42314761,72.40022056,0.30518,3257.61,25.53478214,6.347877115,33.01249668,40.9380679
NSF4_a10.08.3,17.99151434,,,,,,3.879400202,,,,,,,48.67,0.13,44.16336403,50.47228029,15.05225787,69.79628436,0.31539,2868.15,30.03767596,6.315995967,38.28755089,43.91367765
NSF4_a10.10.1,21.3634871,,,,,,3.048937421,,,,,,,44.0,0.14,35.10557003,45.9483157,14.1397164,65.13593526,0.24896,3064.19,40.88027975,6.85445148,52.74796177,48.87863239
NSF4_a10.10.2,23.31708383,,,,,,2.841441946,,,,,,,33.0,0.07,18.47521984,45.6398523,15.446097199999999,66.25414006,0.30086999999999997,3339.89,28.92187274,6.880702525,40.45718614,48.28986833
NSF4_a10.10.3,20.70222383,,,,,,3.157269135,,,,,,,29.0,0.07,18.87050603,45.8277819,14.7049821,65.36249232,0.22326,2748.2,35.15029384,8.297867972,49.73358748,52.75354942
NSF4_a10.14.1,19.86432116,2.11,66.6,31.6,1.8,6.3,3.544869133,0.0,85.5,4.3,7.6,2.6,6.7,40.0,0.15,53.10273333,50.70015033,15.68842272,70.41641894,0.27908,3682.3,28.10248077,6.777609315,36.75097584,42.90488673
NSF4_a10.14.2,20.70560334,,,,,,3.156712138,,,,,,,40.0,0.19,41.36731397,45.84750437,15.69129708,65.36162939,0.28513,3088.96,28.71475816,8.300779683,42.7683039,48.24967599
NSF4_i26.04.1,,1.43,58.6,40.9,0.5,6.0,,0.0,91.8,3.2,3.3,1.7,5.2,12.5,0.02,1.490882064,,,,,,,,,
NSF4_i26.04.2,14.04784745,,,,,,4.584379225,,,,,,,15.0,0.01,1.6057170930000002,42.6633165,16.018376999999997,64.40066003,,,84.65961618,68.75103514,78.15426164,93.40209685
NSF4_i26.04.3,14.89750368,,,,,,4.225238729,,,,,,,16.25,0.02,2.272903015,42.445366799999995,14.6297593,62.94550952,,,80.61398117,67.46317419,77.50245193,98.97360376
NSF4_i26.09.1,21.72334593,1.78,63.1,35.5,1.4,4.4,2.8541775830000002,0.0,86.3,4.3,7.4,2.1,7.3,18.33,0.15,44.58859509,42.9301122,12.9645511,62.00228699,0.32019000000000003,2499.96,36.97847312,8.480818129,50.78812722,56.12303846
NSF4_i26.09.2,19.75464796,,,,,,3.141529015,,,,,,,23.66,0.02,16.13180417,42.5824633,13.2090541,62.05979973,0.30333000000000004,2650.13,49.76860979,9.264100145,57.10566772,50.91810473
NSF4_i26.09.3,22.12823452,,,,,,2.7539600589999997,,,,,,,32.0,0.09,25.11207937,41.0859944,13.6697759,60.94027406,0.3107,3194.82,37.03719533,8.923335751,51.38101270000001,49.35925833
NSF4_i26.10.1,20.6376676,,,,,,2.8906024919999997,,,,,,,23.5,0.06,17.10023859,40.1060179,13.5155794,59.65529338,0.28802,3009.38,42.53251979,14.65789916,53.05114074,41.66229085
NSF4_i26.10.2,22.16347842,,,,,,2.6239383640000002,,,,,,,13.0,0.02,3.787072135,38.2796805,13.797032699999999,58.15560131,0.30055,2988.84,36.92951408,11.58727412,46.45963542,35.12349434
NSF4_i26.10.3,21.29506847,,,,,,2.690946453,,,,,,,33.0,0.14,31.29269757,37.0470721,14.1996339,57.30388897,0.29091,2485.83,32.66978823,15.31800056,47.55274574,41.87009357
NSF5_WT_CK.1,22.3,2.44,70.8,29.0,0.2,2.8,3.260089686,8.5,86.3,3.3,7.5,2.9,5.3,13.0,,,53.2,15.3,72.7,,3772.337,29.52142857,11.97189542,57.8387218,61.02941176
NSF5_WT_CK.2,21.4,,,,,,3.41588785,,,,,,,14.0,,,52.9,15.8,73.1,,3910.827,25.68846881,10.33860759,53.04215501,59.74683544
NSF5_WT_CK.3,21.7,,,,,,3.4147465439999998,,,,,,,19.67,,,53.1,16.2,74.1,,3659.866,26.70338983,12.05987654,55.26854991,59.35679012
NSF5_a17.01.1,22.30463596,2.18,66.8,30.6,2.6,4.1,3.314143977,0.0,86.6,3.6,7.3,2.5,5.6,13.0,,,53.944834400000005,15.529462599999999,73.92077492,0.304,,25.10564756,11.93602153,47.87019978,47.21541362
NSF5_a17.01.2,18.54006818,,,,,,3.882522063,,,,,,,8.5,,,51.4711465,15.2539329,71.98222376,0.302,,31.19378738,13.22347498,55.87130258,49.77994888
NSF5_a17.04.1,21.55371903,2.09,65.2,31.2,3.6,4.7,3.466933685,0.0,86.6,3.8,6.9,2.7,5.5,14.5,,,52.93985550000001,17.385309600000003,74.72531454,,3463.555,21.92790269,8.846549388,42.80121241,42.87700462
NSF5_a17.09.1,19.71819986,2.18,66.5,30.5,3.0,3.6,3.9756655469999997,0.0,86.9,3.5,6.8,2.9,5.2,10.5,,,56.45657289999999,16.719150699999997,78.39296784,0.33399999999999996,3322.887,26.35370735,11.37497971,49.57810679,38.71727767
NSF5_a17.09.2,19.85085371,,,,,,3.7102934789999997,,,,,,,11.5,,,51.8314778,15.926616399999999,73.65249307,0.335,4126.175,24.45830321,11.18442207,48.55099848,44.31010218
NSF5_a17.09.3,20.47258047,,,,,,3.562749192,,,,,,,13.0,,,50.932888500000004,15.9785851,72.93866952,0.341,3343.607,25.38006459,9.917023254,47.07331688,39.35892922
NSF5_a17.10.1,20.17241611,2.25,67.6,30.1,2.3,4.6,3.7340643860000005,0.0,86.6,3.5,6.8,3.0,5.2,6.0,,,53.5313084,17.137219199999997,75.32510057,0.32899999999999996,3094.8759999999997,23.80980473,9.996954465,46.25050413,38.7635819
NSF5_a17.10.2,20.34435939,,,,,,3.730197318,,,,,,,7.0,,,53.0171669,16.6992589,75.88847484,0.35,3497.0490000000004,25.9902609,10.3064454,46.02452644,40.54790719
NSF5_a17.10.3,20.60762751,,,,,,3.6533224110000004,,,,,,,4.0,,,52.375873,16.605369699999997,75.28630743,0.354,3128.237,28.07170393,10.60982099,45.24793315,40.91507821
NSF5_a18.04.1,21.74418182,1.99,66.0,33.1,0.9,4.1,3.4031758410000004,0.0,86.2,3.9,7.0,2.9,5.6,6.5,,,52.0,17.356551800000002,73.99927425,,,28.55711538,12.26165211,53.72269231,61.95124541
NSF5_a18.04.3,19.43507452,,,,,,3.8197379810000003,,,,,,,10.5,,,53.0,15.444007500000001,74.23689231,,,33.22320755,10.73231802,62.16509434,61.66016172
NSF5_a18.05.1,20.20470262,2.08,67.1,32.3,0.6,3.4,3.610427074,0.0,86.5,3.6,7.1,2.8,5.8,17.0,,,53.926094299999995,13.754660399999999,72.94760537,,,38.46616424,17.160002,63.10840872,70.59716284
NSF5_a18.05.2,18.44038636,,,,,,4.017492948,,,,,,,16.0,,,53.4683286,14.954010199999999,74.08412216,,,37.36230498,14.93378679,64.47742225,73.171008
NSF5_a18.05.3,18.26656128,,,,,,4.09114281,,,,,,,13.5,,,53.4844928,15.189938199999999,74.73111084,,,38.18377801,15.38255106,62.4777356,60.70334111
NSF5_a18.09.1,20.34237756,1.99,65.7,32.9,1.4,4.7,3.599872566,0.0,86.0,3.8,7.3,2.8,5.9,8.0,,,51.8586716,16.261571300000004,73.22996690000001,,,34.32656381,14.44140887,56.38960486,63.70971051
NSF5_a18.09.2,18.87142154,,,,,,3.8492931610000003,,,,,,,5.5,,,51.7072817,15.848004000000001,72.64163387,,,26.82832967,13.26854789,53.85605099,62.767525799999994
NSF5_a18.09.3,18.80608761,,,,,,3.911945481,,,,,,,13.5,,,51.808433,16.6201691,73.56838944,,,25.886712300000003,15.3536344,59.15118104,69.19003008
NSF5_a18.11.1,20.60258531,2.2,68.2,31.0,0.8,3.0,3.5450550610000002,0.0,86.4,3.5,7.2,3.0,5.5,10.5,,,50.9371759,17.254887699999998,73.03729932,,2574.93,36.62079742,15.08789883,64.30548891,62.13369908
NSF5_a18.11.2,19.09050243,,,,,,3.8540370360000002,,,,,,,22.5,,,50.5038725,17.9265027,73.57550340000002,,2742.81,24.23715132,13.19498867,55.9240284,64.79903077
NSF5_a18.11.3,19.42188768,,,,,,3.702244256,,,,,,,8.0,,,50.1091384,17.008570499999998,71.90457211,,2962.514,30.1733386,10.28893051,59.22512529,63.54561073
NSF5_a22.10.1,,2.65,72.4,27.3,0.3,5.3,,8.2,87.3,3.0,6.2,3.5,4.8,100.33,0.34,92.40681614,,,,,,,,,
NSF5_a22.10.2,,,,,,,,,,,,,,97.33,0.4,95.83515295,,,,,,,,,
NSF5_a22.10.3,,,,,,,,,,,,,,95.67,0.35,81.24285956,,,,,,,,,
NSF5_a22.17.1,,2.21,68.6,31.1,0.3,3.3,,7.6,86.6,3.5,7.1,2.9,5.5,91.0,0.42,122.680921,,,,,,,,,
NSF5_a22.17.2,,,,,,,,,,,,,,77.0,0.26,60.34076645,,,,,,,,,
NSF5_a22.17.3,,,,,,,,,,,,,,98.0,0.42,121.3389112,,,,,,,,,
NSF5_a27.M.1,22.31065831,0.65,39.0,60.4,0.6,3.2,3.09274324,3.0,81.9,9.7,5.5,2.9,9.5,108.66,0.27,59.19248175,48.8904294,15.5433755,69.00113765,,,34.95264863,15.37053518,44.66538803,37.46547846
NSF5_a27.M.2,22.55634376,,,,,,3.0528045130000003,,,,,,,92.75,0.3,49.33871263,49.1581495,14.6896881,68.86010802,,,40.77655527,20.00859365,41.31298718,39.3343954
NSF5_a27.M.3,21.96218926,,,,,,3.1826507139999998,,,,,,,91.5,0.23,42.951422799999996,49.181125099999996,15.745430599999999,69.89797733,,,36.22385613,19.47612662,41.55903298,40.12211644
NSF5_a28.H.1,20.88877855,2.14,60.7,28.3,11.0,5.4,3.646165934,6.5,87.1,4.0,6.9,2.0,5.7,87.5,0.53,128.6472374,55.2373453,16.0262344,76.16395276,,2732.0170000000003,24.633153399999998,11.85306512,44.91218733,41.07889499
NSF5_a28.H.2,20.993818,,,,,,3.409981437,,,,,,,107.0,0.46,107.7242304,51.7799945,15.385582399999999,71.58852967,,1489.5320000000002,39.90595248,16.04489148,47.95964202,41.92691464
NSF5_a28.H.3,21.84698178,0.71,41.4,58.4,0.2,3.5,3.318694872,3.9,82.4,9.0,6.1,2.5,9.9,119.5,0.39,90.29665744,51.2879988,16.3786487,72.50346641,,2948.133,31.37498124,12.45401887,41.32526224,37.24666248
NSF5_a28.L.1,21.92675518,,,,,,3.325190402,,,,,,,,,,53.1593769,14.991384,72.91063585,,2676.914,41.96700808,18.83014937,43.65419866,43.74979655
NSF5_a28.L.2,20.41987558,,,,,,3.663124002,,,,,,,,,,53.78618349999999,15.8019233,74.80053635,,2558.708,44.27140662,21.78785414,48.12629994,40.06664176
NSF5_a28.L.3,21.28337428,,,,,,3.551846687,,,,,,,,,,55.373591000000005,15.3810812,75.59528244,,2555.405,48.21702822,17.90836395,45.66183905,40.65318893
NSF5_i19.04.1,17.21933477,2.49,56.0,22.5,21.6,5.4,4.6332932,0.0,86.3,4.5,8.8,0.4,5.5,3.0,,,55.8620427,19.2435892,79.7822267,,,32.58867582,26.5709268,67.5489083,77.15712409999999
NSF5_i19.04.2,17.98016862,,,,,,4.185292191,,,,,,,14.5,,,51.805546,18.6816177,75.25225932,,,34.12318056,21.92743726,58.23951744,52.99701642
NSF5_i19.04.3,17.57234286,,,,,,4.300945977,,,,,,,-14.0,,,52.7792684,17.917568399999997,75.57769733,,,32.14216588,22.28873869,54.93899571,57.20753939
NSF5_i19.07.1,15.18943167,1.99,47.1,23.7,29.2,5.4,4.929528648,0.0,85.0,5.9,9.1,0.0,5.4,7.0,,,54.64144939999999,15.5028644,74.87673856,,,48.90627956,34.57490088,71.73327287,66.64381326
NSF5_i19.07.3,15.01842507,,,,,,5.143882256,,,,,,,10.0,,,56.771143099999996,15.668977900000002,77.25301023,,,61.91578693,42.34162587,79.02042755,91.77560969
NSF5_i19.08.1,21.05445455,1.46,59.1,40.6,0.3,3.4,3.464061692,0.0,85.1,5.2,7.1,2.6,7.1,8.0,,,50.7865639,17.9075202,72.93392945,,,32.65706267,16.6522219,60.269877799999996,62.47989602
NSF5_i19.08.2,21.09319309,,,,,,3.31988557,,,,,,,9.0,,,48.977422,16.5867509,70.02698736,,,27.85079215,18.16148333,59.43452883,55.50152682
NSF5_i19.08.3,21.11413588,,,,,,3.254343623,,,,,,,-3.0,,,47.575427000000005,16.7612303,68.71265346,,,29.19910735,18.13709343,58.58991029,53.31052578
